timestep,servo1,servo2,servo3,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
0.8116974830627441,170,22,75,528.0,9218.0,512.0,26230.0,464.0,480.0,560.0,65327.0,11090.0,416.0,336.0,13923.0,23285.0,512.0,528.0,65167.
0.8734538555145264,170,23,75,2416.0,416.0,480.0,26390.0,352.0,416.0,336.0,65535.0,11170.0,416.0,480.0,14403.0,23301.0,384.0,544.0,65215.
0.9352855682373047,170,24,75,1712.0,336.0,400.0,25910.0,400.0,512.0,480.0,65535.0,11026.0,480.0,528.0,14595.0,23269.0,512.0,480.0,65231.
1.0005114078521729,170,25,75,944.0,10642.0,528.0,25446.0,464.0,512.0,496.0,65439.0,11026.0,512.0,416.0,15747.0,23429.0,464.0,416.0,64847.
1.0663063526153564,170,26,75,2512.0,12371.0,496.0,25398.0,384.0,480.0,448.0,65535.0,11138.0,400.0,528.0,16388.0,23237.0,512.0,528.0,65519.
1.1277222633361816,170,27,75,2128.0,12242.0,512.0,25878.0,512.0,464.0,480.0,65535.0,11042.0,480.0,480.0,16484.0,22965.0,512.0,480.0,65535.
1.2005681991577148,170,28,75,2032.0,11202.0,384.0,26438.0,704.0,448.0,496.0,65519.0,11042.0,496.0,512.0,16323.0,23221.0,512.0,512.0,65247.
1.2631556987762451,170,29,75,1344.0,9762.0,528.0,26246.0,480.0,544.0,496.0,65535.0,10930.0,432.0,480.0,16355.0,23317.0,480.0,448.0,65535.
1.3425884246826172,170,30,75,912.0,10818.0,496.0,25894.0,512.0,528.0,576.0,65519.0,11026.0,400.0,400.0,16644.0,23685.0,464.0,416.0,65535.
1.416104793548584,170,31,75,1568.0,11858.0,512.0,25670.0,448.0,384.0,480.0,65535.0,11042.0,528.0,528.0,16852.0,23301.0,512.0,528.0,65311.
1.4906253814697266,170,32,75,1568.0,12771.0,512.0,26150.0,528.0,480.0,480.0,65535.0,10946.0,512.0,432.0,16692.0,23333.0,496.0,496.0,65535.
1.552856206893921,170,33,75,2048.0,12611.0,480.0,26294.0,512.0,480.0,496.0,65535.0,10930.0,464.0,512.0,14355.0,23205.0,304.0,480.0,65535.
1.610874891281128,170,34,75,1456.0,11154.0,416.0,26278.0,496.0,512.0,528.0,65535.0,10962.0,528.0,496.0,14627.0,23381.0,288.0,512.0,65487.
1.6814675331115723,170,35,75,1360.0,10962.0,352.0,26470.0,368.0,448.0,496.0,65535.0,10978.0,512.0,512.0,16067.0,23253.0,400.0,416.0,65247.
