timestep,servo1,servo2,servo3,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
6.4359283447265625,170,105,75,400.0,384.0,384.0,23349.0,384.0,464.0,384.0,65535.0,4273.0,384.0,384.0,13283.0,336.0,352.0,368.0,65535.
6.497333526611328,170,106,75,496.0,544.0,448.0,23877.0,464.0,416.0,464.0,65535.0,3664.0,384.0,544.0,12339.0,480.0,384.0,384.0,65503.
6.559901714324951,170,107,75,384.0,352.0,400.0,23109.0,528.0,336.0,352.0,65535.0,4257.0,480.0,336.0,10690.0,480.0,416.0,480.0,64943.
6.637832403182983,170,108,75,448.0,480.0,352.0,22965.0,512.0,384.0,384.0,65391.0,3984.0,384.0,384.0,10930.0,512.0,528.0,512.0,65215.
6.700470685958862,170,109,75,528.0,464.0,352.0,23253.0,528.0,464.0,512.0,65535.0,3808.0,528.0,416.0,10674.0,480.0,464.0,512.0,65215.
6.763472557067871,170,110,75,528.0,496.0,512.0,23829.0,432.0,480.0,448.0,65535.0,3984.0,512.0,480.0,10466.0,464.0,528.0,512.0,65535.
6.825837850570679,170,111,75,512.0,336.0,528.0,23717.0,512.0,512.0,432.0,65535.0,3872.0,464.0,496.0,10514.0,368.0,352.0,400.0,65327.
6.9029858112335205,170,112,75,496.0,480.0,528.0,23525.0,432.0,496.0,384.0,65535.0,3680.0,480.0,448.0,10546.0,464.0,352.0,368.0,65455.
6.964926242828369,170,113,75,512.0,464.0,480.0,23349.0,464.0,496.0,528.0,65535.0,3616.0,480.0,416.0,10978.0,384.0,496.0,416.0,65535.
7.026579856872559,170,114,75,480.0,416.0,416.0,22869.0,352.0,448.0,496.0,65535.0,3856.0,512.0,368.0,10898.0,512.0,368.0,384.0,65407.
7.089533090591431,170,115,75,480.0,480.0,432.0,23685.0,480.0,496.0,384.0,65247.0,4113.0,464.0,368.0,10642.0,512.0,352.0,400.0,64815.
7.152630090713501,170,116,75,448.0,432.0,528.0,23813.0,352.0,400.0,512.0,65535.0,3552.0,384.0,512.0,10770.0,512.0,496.0,464.0,65535.
7.215386152267456,170,117,75,496.0,464.0,480.0,23893.0,464.0,512.0,416.0,65535.0,3856.0,464.0,384.0,10754.0,464.0,480.0,432.0,65007.
7.277664661407471,170,118,75,464.0,480.0,400.0,23749.0,448.0,352.0,432.0,65535.0,4000.0,368.0,496.0,10914.0,464.0,528.0,544.0,65535.
7.34092116355896,170,119,75,544.0,384.0,464.0,23525.0,528.0,528.0,464.0,65535.0,3872.0,512.0,432.0,12355.0,528.0,512.0,560.0,65295.
0.010892391204833984,170,10,75,512.0,7217.0,384.0,20741.0,432.0,512.0,512.0,65535.0,4048.0,480.0,464.0,480.0,480.0,464.0,480.0,65231.
0.07293510437011719,170,11,75,432.0,7265.0,432.0,20709.0,432.0,384.0,416.0,65535.0,4000.0,400.0,304.0,432.0,464.0,320.0,512.0,64607.
0.13585495948791504,170,12,75,336.0,7281.0,432.0,20741.0,464.0,320.0,448.0,65535.0,3920.0,480.0,544.0,480.0,256.0,336.0,496.0,65423.
0.19870615005493164,170,13,75,528.0,496.0,336.0,21029.0,496.0,512.0,512.0,65535.0,5441.0,512.0,464.0,9250.0,480.0,6081.0,480.0,65535.
0.2623724937438965,170,14,75,576.0,528.0,512.0,20725.0,512.0,480.0,480.0,65535.0,6097.0,496.0,400.0,5393.0,720.0,480.0,368.0,65535.
0.3235502243041992,170,15,75,480.0,480.0,544.0,20965.0,352.0,544.0,528.0,65535.0,6721.0,560.0,512.0,10322.0,704.0,7601.0,400.0,64799.
0.3856792449951172,170,16,75,464.0,528.0,336.0,20997.0,352.0,496.0,496.0,65535.0,6401.0,400.0,512.0,10530.0,560.0,400.0,352.0,64863.
0.44776225090026855,170,17,75,512.0,512.0,464.0,20965.0,496.0,480.0,384.0,65535.0,6529.0,352.0,400.0,11330.0,816.0,5201.0,480.0,65007.
0.5111780166625977,170,18,75,480.0,464.0,416.0,22389.0,464.0,464.0,480.0,65535.0,6609.0,384.0,416.0,13283.0,704.0,736.0,464.0,65535.
0.6031460762023926,170,19,75,464.0,400.0,352.0,22533.0,464.0,336.0,352.0,65535.0,6545.0,512.0,464.0,13987.0,784.0,512.0,464.0,65183.
0.6816823482513428,170,20,75,432.0,544.0,480.0,22453.0,352.0,496.0,352.0,65535.0,6673.0,400.0,352.0,13891.0,736.0,480.0,480.0,65471.
0.743049144744873,170,21,75,528.0,512.0,416.0,22613.0,496.0,464.0,480.0,65535.0,6705.0,416.0,384.0,14275.0,688.0,464.0,432.0,64975.
0.8205280303955078,170,22,75,352.0,368.0,464.0,22709.0,432.0,480.0,352.0,65487.0,6337.0,512.0,512.0,14387.0,704.0,464.0,496.0,65279.
0.8825390338897705,170,23,75,480.0,528.0,352.0,22437.0,512.0,336.0,368.0,65535.0,6545.0,464.0,432.0,14419.0,720.0,464.0,352.0,65215.
0.9436588287353516,170,24,75,416.0,400.0,480.0,22357.0,480.0,512.0,480.0,65535.0,6433.0,544.0,496.0,14339.0,688.0,464.0,464.0,64991.
