Rotation,LED_no,s1,s2,s3,s4,t
1,14,1760.0,1824.0,2048.0,2144.0,4
1,14,1728.0,1824.0,2048.0,2016.0,5
1,14,1728.0,2112.0,1920.0,2112.0,6
1,14,1728.0,1824.0,2016.0,2048.0,7
1,14,1696.0,1760.0,1984.0,2048.0,8
1,14,1696.0,1792.0,1920.0,2016.0,9
1,14,2464.0,1632.0,2656.0,7585.0,10
1,14,2112.0,2240.0,2016.0,5729.0,11
1,14,2112.0,2176.0,1920.0,4353.0,12
1,14,1984.0,2144.0,1984.0,3552.0,13
1,14,1888.0,2048.0,1984.0,2976.0,14
1,14,1824.0,1824.0,1952.0,2560.0,15
1,14,1760.0,1888.0,2016.0,2240.0,16
1,14,1792.0,1824.0,2016.0,2112.0,17
1,14,1792.0,1856.0,2144.0,2144.0,18
1,14,1760.0,1824.0,2016.0,2112.0,19
1,14,1696.0,1504.0,1984.0,2016.0,20
1,14,1856.0,10498.0,0.0,0.0,21
1,14,1696.0,3232.0,1376.0,7041.0,22
1,14,1280.0,2016.0,1952.0,4897.0,23
1,14,1568.0,2016.0,1888.0,3872.0,24
1,14,1600.0,1856.0,1920.0,3168.0,25
1,14,1664.0,1856.0,1920.0,2720.0,26
1,14,1696.0,1824.0,1952.0,2464.0,27
1,14,1696.0,1824.0,2016.0,2208.0,28
1,14,1696.0,1824.0,2016.0,2112.0,29
1,14,1696.0,1792.0,1984.0,2016.0,30
1,14,1728.0,1824.0,2016.0,2016.0,31
1,14,1728.0,1792.0,1952.0,2112.0,32
1,14,0.0,4513.0,0.0,9474.0,33
1,14,2016.0,3296.0,1344.0,8097.0,34
1,14,1984.0,2368.0,2016.0,5569.0,35
1,14,2048.0,2208.0,1952.0,4193.0,36
1,14,1920.0,2016.0,2016.0,3296.0,37
1,14,1888.0,2336.0,1920.0,2944.0,38
1,14,1824.0,1824.0,1984.0,2528.0,39
1,14,1792.0,1888.0,1952.0,2336.0,40
1,14,1792.0,1856.0,2016.0,2176.0,41
1,14,1728.0,1824.0,2016.0,2016.0,42
1,14,1728.0,1856.0,2016.0,2016.0,43
1,14,1696.0,1824.0,1984.0,2080.0,44
1,14,1760.0,1824.0,1952.0,2048.0,45
1,14,1344.0,5025.0,1184.0,9378.0,46
1,14,1760.0,2560.0,2080.0,5953.0,47
