time_step,x,y,z,s1,s2,s3,s4,s5,s6
7,10.319,-2.04704,-0.68953,-14.916,4.49017,1.4548,-2.22326,1.44597,-1.94524
7,9.83298,-2.37265,0.112527,-4.5985,-1.24407,-1.18715,-15.7824,2.39257,3.40495
7,10.058,-2.71502,0.418985,-6.55973,1.35562,0.38489,0.649819,-2.08887,2.06065
7,10.2687,-2.88501,-0.426168,-3.29945,-2.03887,2.3204,-5.06149,1.26054,1.64982
8,10.2448,-2.56898,-0.155623,-0.486803,1.63767,3.07126,-10.0923,-2.66156,-2.61877
8,10.0844,-2.62165,0.167594,-0.97203,1.34216,3.4214,11.5057,-1.9017,1.59075
8,10.1035,-2.34392,-0.189142,1.20009,-2.17377,-0.123835,1.57439,1.28959,1.64292
8,9.92636,-3.05739,-0.402226,-0.398683,3.30243,-4.2403,-25.0534,4.31662,-4.57486
8,10.2089,-2.74136,-0.272939,2.59584,0.038459,3.30609,-1.69804,3.65637,-0.450671
8,10.2687,-3.07176,-0.167594,0.687965,-0.958525,0.664528,-9.05278,-0.344867,-0.966835
8,10.331,-3.41174,-0.732625,2.02694,-1.16244,-3.77797,5.06264,3.42593,3.2463
8,10.0868,-2.72939,-0.0622492,1.75009,1.03846,-1.68773,10.4636,0.0294422,-0.954505
8,10.2951,-3.09091,-0.177171,-1.34953,-3.06163,0.0229291,5.15439,0.168398,0.440829
8,10.1347,-2.75094,-0.292093,0.580088,-1.28875,-1.35228,7.15048,-3.38842,-4.62703
8,10.5536,-3.20105,-0.222661,-1.87924,2.26755,1.18747,-1.99839,4.01768,-1.33511
8,10.5249,-3.08373,-0.0526724,2.90206,-0.903195,2.49076,-1.4024,-4.41792,2.30969
9,10.4435,-2.89938,-0.191536,0.930876,2.25615,1.99708,-0.192503,-4.55396,1.70089
9,10.6686,-3.07894,-0.150835,-1.02808,1.3484,-4.71154,6.1566,2.10393,0.884663
9,10.3214,-2.81319,-0.00957681,0.500265,0.984973,-2.59036,7.58253,-0.854097,-2.44191
9,10.4698,-3.25611,0.248997,-2.54451,0.511811,-0.459427,13.5295,-2.63295,-1.45532
9,10.5249,-3.61764,-0.0311246,-0.360276,-2.92898,-0.15223,10.3064,-1.71984,3.5836
9,10.2184,-3.14119,-0.308852,0.205653,-1.72138,0.536767,-1.81898,1.9986,-2.17733
9,10.3573,-3.31118,-0.299275,1.57517,-0.336442,1.75804,3.34329,0.399836,0.854311
9,10.0892,-3.24414,-0.378284,0.602119,-1.25681,-1.88401,4.20811,-0.993839,-1.68367
9,10.0772,-3.25611,-0.311246,1.41737,-1.31892,-0.335052,-17.0315,-1.19885,-1.61901
9,10.1418,-3.42131,-0.541089,-2.08448,-0.709546,1.32875,-6.86705,4.50369,-0.562371
9,10.4148,-3.84748,-0.311246,-1.57391,1.92183,2.52785,-11.4974,-1.12219,-5.17958
9,10.058,-2.74854,-0.620098,-3.70094,-1.73405,-2.91244,12.1383,-0.547086,3.61585
9,9.92396,-2.96402,-0.248997,-1.24194,-1.0905,-4.14789,-11.0287,0.336975,4.37041
10,9.91199,-3.30639,-0.641646,3.76288,2.32399,-0.304543,-13.3688,0.521976,0.935382
10,9.92396,-3.33033,-0.658405,2.23724,-0.879204,0.841485,5.77887,-1.75691,0.349782
10,9.76595,-3.29921,-0.588974,-1.14354,0.525172,-2.91131,12.4229,3.27797,-4.15838
10,9.76595,-2.86107,-0.821211,0.375691,1.17858,-0.0552651,-19.8047,0.00589859,1.89271
10,9.94791,-2.86586,-0.687136,0.570729,-1.61478,4.41633,9.88216,3.04126,0.978755
10,10.1347,-2.50433,-0.105345,-1.42795,-1.89575,-0.848893,3.19226,1.76367,-3.83578
10,10.1275,-2.74136,-0.241814,-3.43098,1.24688,-1.89671,0.278108,-3.43119,0.842482
10,10.0197,-2.60489,-0.344765,3.22821,-2.07321,1.21254,-3.76667,1.34494,-1.61741
10,10.0341,-2.86825,-0.464475,-3.13154,1.01775,-2.92828,12.4191,-1.34382,4.17997
10,10.058,-2.51152,-0.476446,-0.288249,0.98413,0.825724,7.13877,-0.536327,3.1005
10,10.0245,-2.40617,-0.304064,2.54851,0.525906,1.21286,19.1304,3.23299,-4.98125
10,10.1921,-2.74136,0.0526724,-1.69155,-2.31597,0.969442,-9.83997,2.80598,1.29415
11,10.2232,-2.21703,-0.622492,-2.53349,1.81595,-0.62881,15.8843,-0.185504,3.01507
11,10.2137,-2.13084,-0.952892,2.62278,2.29299,-4.72746,13.3477,3.48386,-3.76593
11,10.3094,-2.91374,-0.208295,-0.642257,-2.76776,0.324204,6.19153,1.49602,-3.2244
11,10.0676,-3.02866,-0.167594,-1.09298,-0.266411,-0.438681,-7.84073,-5.04594,-1.17127
11,10.4435,-2.59053,-0.914585,2.27439,0.874732,-1.40634,12.6753,-2.15742,1.20525
11,10.2687,-2.0662,-0.0143652,1.66975,-0.316112,0.341276,7.76949,3.59362,2.7955
11,10.3214,-3.11486,0.0861912,1.47296,-1.66192,-1.18004,-4.7071,-1.23336,1.87064
11,10.2999,-2.66953,0.0143652,-3.23693,1.93002,0.135721,-2.53996,3.44617,-2.75351
11,10.4004,-2.9305,-0.732625,2.37762,4.37512,0.433158,-4.37598,-0.826831,-0.844333
11,10.5417,-2.93769,-0.232238,-0.753426,-0.125157,1.08045,8.86357,-0.0267424,1.90692
11,10.4435,-3.15556,-0.0526724,1.73336,-1.10073,-1.97004,-15.9638,-1.41904,0.840851
