time_step,x,y,z,s1,s2,s3,s4,s5,s6
14,10.2256,-2.54504,0.00957681,-39.4661,1.6818,-0.559505,-4.45875,-1.40903,4.51556
14,10.0149,-3.10288,-0.220267,-24.2271,-1.26383,3.66525,3.21222,3.68736,0.0222748
14,10.082,-2.65038,-0.739808,-12.844,2.07281,-0.124677,-4.30511,-2.11919,-1.62621
14,9.9072,-2.92811,0.160411,-9.79393,3.00037,0.90365,2.14217,-0.254147,-0.94418
14,10.2352,-2.8898,-0.356736,-3.67405,1.11601,0.529613,11.0515,0.781252,-0.24552
14,10.1083,-3.08134,-0.696712,-2.83665,-2.96984,0.872127,-1.12937,2.81153,-3.58556
15,10.0245,-3.14119,-0.0670376,-0.0432226,2.54827,-2.93032,16.9008,-2.11896,3.92161
15,10.0341,-2.72699,-0.00957681,-1.64237,0.168974,-2.34285,2.94028,-1.35299,0.690251
15,10.1586,-3.13401,-0.122104,-0.950667,-2.28958,1.34798,-17.688,-0.158484,-2.6526
15,10.1203,-3.40216,-0.363919,2.09863,1.5446,1.48995,9.09451,2.84774,4.19106
15,10.228,-2.94487,0.229843,2.16633,1.60163,2.24472,6.50127,-4.93651,-0.562616
15,9.89045,-3.04542,-0.289698,2.07112,-1.41437,-1.34137,2.23203,-1.62077,0.626462
15,10.0556,-3.31118,-0.878672,1.40812,1.68663,-0.574578,2.82227,2.69046,-5.37183
15,10.3693,-3.39737,-0.181959,-0.714628,3.38782,0.330691,-11.1911,-1.78086,-3.5177
15,10.0652,-3.41652,-0.0885854,1.26582,0.220146,-0.387655,2.25511,2.86606,0.169433
15,10.2855,-3.49074,-0.426168,1.97528,1.72069,-0.541827,3.61588,2.95045,1.99581
15,10.1634,-3.45244,-0.567425,0.787449,0.685886,5.16043,-9.89661,-0.992736,-4.60991
15,10.2927,-3.51947,-0.507571,-3.95039,-0.210872,1.04415,7.44928,-2.4483,-1.09136
16,10.2256,-3.55299,-0.248997,1.08684,0.985054,-3.03477,7.63704,-1.98104,2.9831
16,9.9503,-3.84748,-0.871489,-2.60822,0.580631,1.60659,-16.5918,2.97656,-5.42166
16,10.0293,-4.28083,-0.720654,0.412105,-2.28428,-1.20954,10.6607,-3.34142,1.27427
16,9.2081,-4.7884,-0.43335,0.0516535,2.36472,0.898013,11.3069,0.508302,-1.29703
16,9.165,-4.94642,-0.634463,-0.290621,3.51707,-2.00341,-16.8801,-0.695425,-0.808466
16,8.96868,-5.34864,-1.1157,0.131564,2.23801,-1.80639,9.95731,3.89423,0.72589
16,8.46589,-5.58088,-1.15879,-2.18608,-0.225057,-0.124152,-8.71554,4.63652,3.63907
16,8.18098,-6.39012,-0.349553,4.18387,-1.97164,-3.77955,-6.70376,-5.82015,0.941051
16,7.94156,-7.00304,-1.06302,0.247854,1.14158,0.693342,8.99536,0.437436,2.12773
16,8.46111,-6.45237,-1.35512,1.70165,-2.05894,1.17361,-3.73185,-2.97441,-4.86982
16,8.37252,-5.93283,-0.538695,-3.04157,2.47069,0.0453284,6.53963,-0.304446,-0.945526
16,8.01818,-6.28238,-0.950498,-1.30636,-4.23621,0.579328,10.3944,0.256989,-1.16885
16,7.5968,-6.3159,-1.35512,2.25644,1.45164,1.16922,-17.2277,1.60247,2.24377
17,7.36456,-8.18338,-1.01035,24.7087,2.77116,1.5598,0.623159,4.1005,2.79293
17,7.34301,-7.52976,-1.29766,12.5612,-2.47434,1.45792,6.57878,5.79243,-2.79905
17,7.762,-6.13873,-1.0726,-18.961,-0.117325,-0.893592,-10.007,-2.50922,3.17818
17,7.90086,-5.69102,-0.746991,-11.8537,2.38827,-0.884976,7.93143,1.702,-1.44602
17,7.31428,-6.47631,-1.16837,2.83142,-1.79203,2.40611,13.6671,-0.874981,1.06595
17,7.12754,-7.00783,-1.33357,8.83218,-1.1447,-1.97822,1.88915,-0.280151,-1.66518
17,7.33823,-6.44279,-1.03908,-7.3574,1.6903,1.32412,-3.75498,0.480901,-3.59041
17,7.87932,-5.71975,-0.782904,-10.5608,1.63566,2.59762,-14.9908,-3.19353,-1.1738
17,8.00621,-5.79157,-0.682347,-2.0856,-3.44586,-0.826972,3.91252,-1.64304,5.23753
17,8.26717,-5.52342,-0.919373,-0.974321,1.94687,-0.363791,7.78317,-1.11453,2.25433
17,8.54969,-5.27921,-0.502782,0.13167,1.28115,0.660668,-19.7639,0.563622,1.98373
17,8.6263,-5.13795,-0.562637,0.954537,1.26201,3.88403,7.53285,-2.20154,-3.26885
18,8.7125,-5.12838,-0.952892,-2.26017,0.675477,1.69079,15.0759,0.973447,-4.33061
18,9.19613,-5.01825,-0.737414,0.0870028,0.0337171,0.578978,-14.5562,-0.77831,3.62279
18,9.33738,-5.41568,-0.548272,-0.685057,-1.45025,-5.49875,0.756574,0.0384467,4.6394
18,9.6175,-4.77643,-0.586579,0.736424,0.294976,-0.939609,6.23592,-1.08097,-2.32171
18,9.68215,-4.12042,-0.517147,-0.680257,1.67504,2.57751,0.0986861,3.38894,-1.55119
18,9.72524,-1.54665,0.418985,2.45297,2.16812,-2.17879,-9.99536,0.0404534,0.0378986
18,10.5177,-2.58095,-0.335188,0.0127192,-0.789165,2.64023,-11.1729,-2.77559,-1.34961
18,9.84496,-3.51229,-0.466869,-0.403191,-4.03812,0.489812,-14.2187,3.24117,2.93075
18,9.90002,-3.56497,-0.921767,0.0679905,3.15028,-1.27234,14.7675,0.864684,0.621753
18,9.84735,-3.55539,-0.933739,0.359613,1.17005,2.12044,-12.9406,0.963385,-4.08862
18,10.1347,-2.89938,-0.208295,1.64558,-0.900306,-3.86923,-7.3936,-4.63457,0.409179
18,10.0748,-2.31998,-0.129287,-3.07903,0.261429,-1.27207,16.284,-3.94013,1.32483
18,9.82101,-3.40216,-0.383072,3.59919,-0.946264,0.872831,6.64597,-3.06009,-1.22244
19,10.0628,-3.11725,-0.73502,1.69052,-0.862763,0.259945,6.23254,-2.50829,-2.81224
19,9.74679,-2.52828,0.110133,3.70178,-2.50347,1.55228,-10.0126,2.09294,2.44041
19,9.88565,-2.71981,-0.256179,0.402075,0.861235,-1.38634,8.77862,1.92932,-3.38534
19,9.83538,-3.27287,-0.919373,-1.37005,-2.27008,0.86986,14.0868,1.93391,2.55128
19,9.67975,-2.20745,-0.435745,0.627641,2.96538,-1.47914,-8.21523,-4.72341,2.53623
19,9.54329,-2.70784,-0.011971,-1.85074,2.12242,-0.896261,5.60113,1.72554,3.40331
19,9.95269,-2.77248,-1.10612,1.47649,0.265033,4.3982,1.26373,-0.461295,0.422067
19,9.61032,-2.3966,-0.656011,-1.03482,0.362518,-1.95992,-8.31241,2.53636,1.00192
19,9.62947,-2.27449,0.0670376,29.8771,0.198573,-1.02832,13.2383,1.49143,2.0025
19,9.88326,-2.15957,-0.251391,28.7359,-1.34082,1.53481,-9.60962,-2.96202,1.18926
19,9.62708,-2.46842,-0.651223,35.5812,0.653574,0.935533,5.52101,-0.0413499,-5.46094
19,9.64863,-1.99676,-0.368707,42.1795,-3.27699,-0.965075,-0.924451,0.106641,2.23781
20,9.69412,-2.29843,-0.320823,27.5894,2.39052,0.536597,-16.4612,-1.37632,-1.34125
20,9.77313,-2.10929,-0.351948,18.7641,2.13581,-0.481406,5.88686,0.637032,2.83859
20,9.55765,-1.9824,-0.256179,6.48409,2.04056,-1.74289,8.46029,-1.91702,-1.70727
20,9.81383,-1.97282,-0.227449,8.08848,1.69413,-0.154441,-11.5094,-2.27757,-1.11539
20,9.73482,-2.20027,-0.107739,3.57017,0.590211,-1.45272,9.55463,-1.00605,-1.17644
20,9.80904,-2.29843,-0.0933738,4.59398,-1.70519,-0.302965,-13.2035,-2.22547,1.64206
20,9.75637,-2.17633,-0.229843,0.534297,3.00256,3.07075,-15.193,-0.108805,-2.17813
20,9.97424,-2.28886,-0.0574608,5.86731,-2.20091,2.09679,14.3495,1.47503,-0.500532
20,10.2256,-2.28646,-0.244209,4.89148,2.00385,0.245526,-2.75766,0.255522,1.85055
20,9.76834,-2.1883,-0.304064,-8.03452,0.726499,0.352332,-5.64507,3.79835,1.09539
20,9.43794,-2.53306,-0.217872,-32.8405,0.635395,3.67832,9.36108,-3.49623,0.251319
20,10.1442,-2.8491,-0.383072,-40.2788,-2.54351,-4.77971,25.1615,-4.61452,0.0974576
20,10.1323,-2.45406,-0.328006,-41.5406,1.67915,-2.09924,4.76331,-2.59423,0.347844
21,9.84016,-2.6432,-0.229843,-39.2949,-1.79393,-0.473974,-0.103695,1.57883,-2.68255
21,9.98142,-2.68869,-0.244209,-23.9831,1.16067,-1.62234,-2.24304,3.60773,-1.57122
21,9.77792,-2.78206,-0.447716,-13.0125,0.752302,-3.87205,6.81083,2.32526,2.9222
21,9.83777,-3.25851,-0.584185,-2.47199,-3.93485,1.54096,0.852395,-2.52565,-3.69344
21,9.82819,-3.20823,-0.648829,-3.66791,2.53741,1.66932,-1.31799,-1.56742,0.608939
21,10.0221,-2.94008,-0.430956,-3.45837,-0.62998,3.47784,9.20598,-0.79772,-1.75913
21,10.2568,-2.41575,-0.421379,-4.49369,0.660316,-1.46927,6.4488,-0.0911609,0.0904404
21,9.99339,-2.87783,-0.158017,-2.45383,-1.02924,4.75445,-11.5985,3.16471,-1.91476
21,10.0102,-3.11246,-0.505176,1.05014,1.95153,0.547173,14.7469,-0.435647,2.90305
21,10.1969,-2.91614,-0.141258,-0.189901,-1.09794,-3.30511,10.1879,-2.43704,3.81301
21,9.99818,-3.0119,-0.0574608,4.46594,-2.76767,3.5165,-18.5446,-3.13667,-1.32928
21,9.92875,-3.10049,-0.679953,0.021027,-1.02403,-1.22746,12.5981,4.8834,1.10567
22,10.1179,-3.37343,-0.181959,0.117642,1.27052,4.28819,4.48148,2.43791,-0.135297
22,10.24,-3.45483,-0.0861912,-1.37269,1.68926,0.568482,5.06768,-2.51657,-3.61203
22,10.4579,-3.27766,-0.435745,-0.801346,3.80374,0.745409,0.380022,-1.86952,3.67099
22,10.1706,-3.19626,-0.411803,-0.404249,-1.58353,-1.86793,2.27214,-1.27574,2.89326
22,10.4076,-3.33752,-0.521936,-1.33672,0.656212,1.76373,-20.6013,-0.124689,0.0762124
